Название;Организация;Дата;Ссылка;Направление;Сумма;Срок;Описание
Грант на разработку станков с ЧПУ для МСП;Фонд развития промышленности;2024-03-15;https://example.com/grant-1;машиностроение станки;до 15 млн руб;30.09.2024;Поддержка малых предприятий, производящих металлообрабатывающее оборудование
Конкурс горнодобывающих технологий обогащения руды;Роснедра;2024-06-01;https://example.com/grant-2;горное дело добыча обогащение;до 25 млн руб;15.08.2024;Разработка технологий обогащения полезных ископаемых
Поддержка стартапов в области биотехнологий;Сколково;2023-11-20;https://example.com/grant-3;биотех медицина;до 10 млн руб;01.03.2024;Гранты для ранних биомедицинских стартапов
Грант на нейросети для промышленности;РФРИТ;2024-09-10;https://example.com/grant-4;искусственный интеллект нейросети;до 50 млн руб;20.12.2024;Внедрение ИИ на производстве
Программа «Развитие-Пром» для средних предприятий;Фонд содействия инновациям;2024-04-05;https://example.com/grant-5;промышленность мсп бизнес;до 20 млн руб;13.07.2024;Расширение производства промышленной продукции
Грант РНФ на прикладные исследования в энергетике;РНФ;2024-02-10;https://example.com/grant-6;энергетика материалы;до 20 млн руб;01.06.2024;Прикладные исследования новых энергоматериалов
Конкурс лазерных и оптических технологий;Минобрнауки;2023-09-01;https://example.com/grant-7;оптика лазер;до 12 млн руб;30.11.2023;Разработка лазерных систем для промышленности
Грант на цифровизацию агропромышленного комплекса;Россельхозбанк;2024-05-20;https://example.com/grant-8;агропром пищевая цифра;до 18 млн руб;10.09.2024;Цифровые решения для переработки и пищепрома
Поддержка коммерциализации научных разработок;Фонд содействия инновациям;2024-07-01;https://example.com/grant-9;коммерциализация наука ниокр;до 30 млн руб;15.10.2024;Вывод результатов НИОКР на рынок
Грант на программное обеспечение для МСП;РФРИТ;2024-08-15;https://example.com/grant-10;информационные технологии программное обеспечение;до 40 млн руб;30.11.2024;Разработка отечественного ПО малыми ИТ-компаниями
